Allow Ancient Avisynth				Provider/Avisynth/Allow Ancient
Timing processor key start after thres	Tool/Timing Post Processor/Threshold/Key Start After
Timing processor key start before thres	Tool/Timing Post Processor/Threshold/Key Start Before
Timing processor Only Selection			Tool/Timing Post Processor/Only Selection
Tips current						Tool/Tip of the Day/Current
Tips enabled						App/Tips
Undo levels							Subtitle/Undo Levels
Updates Next Check Time				Version/Next Check
Use nonstandard Milisecond Times	App/Nonstandard Milisecond Times
Video Check Script Res				Video/Check Script Res
Video Default Zoom					Video/Default Zoom
Video Dummy Last Colour				Colour/Video Dummy/Last Colour
Video Dummy Last FPS				Video/Dummy/FPS
Video Dummy Last Height				Video/Dummy/Last/Height
Video Dummy Last Length				Video/Dummy/Last/Length
Video Dummy Last Width				Video/Dummy/Last/Width
Video Dummy Pattern					Video/Dummy/Pattern
Video Fast Jump Step				Video/Slider/Fast Jump Step
Video provider						Video/Provider
Video Screenshot Path				Path/Screenshot
Video Visual Realtime				Video/Visual Realtime
